review,rating,date,bank,source
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2025-07-23,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-07-22,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. good features.,5,2025-06-18,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. good features. Transactions in Birr work fine.,5,2025-01-06,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-11-28,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) works but needs improvements.,3,2025-04-02,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2025-06-09,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-11-29,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. good features.,5,2025-02-08,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2025-03-17,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features. Transactions in Birr work fine.,4,2025-04-20,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-06-26,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,4,2025-11-17,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. secure.,5,2025-09-08,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used.,4,2025-01-04,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) works but needs improvements.,3,2025-07-03,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,5,2025-03-08,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app needs improvement in Ethiopia. good features. Transactions in Birr work fine.,5,2025-04-23,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,5,2025-01-21,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-07-27,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app needs improvement in Ethiopia. secure.,4,2025-09-13,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,4,2025-03-26,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2024-12-25,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs.,3,2025-02-03,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,4,2025-10-13,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Addis. widely used. Transactions in Birr work fine.,4,2025-06-18,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. secure. Transactions in Birr work fine.,4,2025-02-08,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service.,5,2025-10-17,CBE,Google Play Store
Decent banking app from Commercial Bank of Ethiopia (CBE).,3,2025-11-27,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,4,2025-10-16,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service!,5,2025-04-24,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app needs improvement in Ethiopia. secure. Transactions in Birr work fine.,5,2025-09-17,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. good features. Transactions in Birr work fine.,4,2025-04-19,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service.,4,2025-02-23,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Addis. secure.,4,2025-01-09,CBE,Google Play Store
Decent banking app from Commercial Bank of Ethiopia (CBE).,3,2025-10-31,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used.,4,2025-10-24,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. secure.,5,2025-08-01,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used. Transactions in Birr work fine.,5,2025-09-27,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-05-22,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs. Transactions in Birr work fine.,3,2025-09-05,CBE,Google Play Store
Disappointed with Commercial Bank of Ethiopia (CBE) mobile banking. slow transfers.,2,2025-04-08,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service. Transactions in Birr work fine.,4,2025-05-26,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service.,4,2025-10-21,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) works but needs improvements.,3,2025-10-05,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service. Transactions in Birr work fine.,5,2025-07-02,CBE,Google Play Store
Decent banking app from Commercial Bank of Ethiopia (CBE).,3,2025-02-16,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service. Transactions in Birr work fine.,4,2025-10-14,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-06-09,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Ethiopia. secure. Transactions in Birr work fine.,5,2025-07-18,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,4,2025-02-17,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure! Transactions in Birr work fine.,5,2025-03-10,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,4,2025-01-26,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service.,4,2025-07-08,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used!,5,2025-01-27,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-05-30,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,5,2025-08-08,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-01-11,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Addis. secure.,4,2025-02-02,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is okay in Addis. Could be better.,3,2024-12-14,CBE,Google Play Store
Average experience with Commercial Bank of Ethiopia (CBE) mobile banking. Transactions in Birr work fine.,3,2025-09-06,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs. Transactions in Birr work fine.,3,2025-02-06,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. secure.,4,2024-12-25,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) should improve their app. slow transfers.,2,2025-02-06,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-08-11,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,4,2025-01-19,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs. Transactions in Birr work fine.,3,2025-04-06,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2024-12-19,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-08-11,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. secure.,4,2025-02-25,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,4,2025-10-08,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. secure. Transactions in Birr work fine.,4,2025-09-28,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. widely used.,4,2025-02-06,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is okay for Ethiopian users. Could be better.,3,2025-11-12,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. widely used.,5,2025-09-13,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,5,2025-04-16,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service.,5,2025-06-30,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-05-09,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2024-12-21,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,4,2025-09-16,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app needs improvement in Ethiopia. good features.,4,2025-03-03,CBE,Google Play Store
Poor experience with Commercial Bank of Ethiopia (CBE) best in Ethiopia. app crashes during salary.,2,2025-09-14,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Ethiopia. secure.,5,2025-02-09,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service.,5,2025-05-11,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service! Transactions in Birr work fine.,4,2025-07-09,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs.,3,2025-06-09,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service! Transactions in Birr work fine.,4,2025-10-10,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-03-23,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-08-04,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2025-02-27,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-09-10,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Ethiopia. secure. Transactions in Birr work fine.,5,2025-04-03,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,4,2025-12-02,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-02-08,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2024-12-15,CBE,Google Play Store
Decent banking app from Commercial Bank of Ethiopia (CBE). Transactions in Birr work fine.,3,2024-12-28,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. secure.,4,2025-08-28,CBE,Google Play Store
Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.,3,2025-04-26,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-05-19,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app needs improvement in Ethiopia. secure.,5,2025-01-25,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features. Transactions in Birr work fine.,4,2025-06-26,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is okay best in Ethiopia. Could be better.,3,2025-02-02,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app in Ethiopia. widely used.,4,2025-01-10,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,4,2025-03-31,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,4,2025-10-26,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. secure.,5,2025-04-09,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. good features.,4,2025-11-14,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-11-12,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2024-12-14,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. good features.,5,2025-10-31,CBE,Google Play Store
Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-02-12,CBE,Google Play Store
Excellent Commercial Bank of Ethiopia (CBE) app for Ethiopian users. widely used.,4,2025-10-15,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is okay in Addis. Could be better. Transactions in Birr work fine.,3,2025-06-20,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service.,4,2025-11-01,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs.,3,2024-12-31,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used.,5,2025-02-07,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,4,2025-04-21,CBE,Google Play Store
Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,4,2025-11-24,CBE,Google Play Store
Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service.,4,2025-06-19,CBE,Google Play Store
Commercial Bank of Ethiopia (CBE) app is functional for basic needs. Transactions in Birr work fine.,3,2025-01-03,CBE,Google Play Store
Decent banking app from Commercial Bank of Ethiopia (CBE).,3,2025-08-11,CBE,Google Play Store
